                        L                       Lg                        b                        a          Frequency / GHz                    Value
                        0                    173.3                    86.36                    43.18          2.0999000072479       -0.050897754728794
                        0                    173.3                    86.36                    43.18           2.100800037384       -0.050533752888441
                        0                    173.3                    86.36                    43.18          2.1016998291016       -0.050176531076431
                        0                    173.3                    86.36                    43.18          2.1025998592377       -0.049819849431515
                        0                    173.3                    86.36                    43.18          2.1034998893738       -0.049471504986286
                        0                    173.3                    86.36                    43.18          2.1043999195099       -0.049125783145428
                        0                    173.3                    86.36                    43.18           2.105299949646       -0.048785284161568
                        0                    173.3                    86.36                    43.18          2.1061999797821       -0.048449482768774
                        0                    173.3                    86.36                    43.18          2.1071000099182       -0.048118896782398
                        0                    173.3                    86.36                    43.18          2.1080000400543       -0.047791447490454
                        0                    173.3                    86.36                    43.18          2.1088998317719       -0.047469217330217
                        0                    173.3                    86.36                    43.18           2.109799861908       -0.047150123864412
                        0                    173.3                    86.36                    43.18          2.1106998920441       -0.046836245805025
                        0                    173.3                    86.36                    43.18          2.1115999221802       -0.046526536345482
                        0                    173.3                    86.36                    43.18          2.1124999523163       -0.046222575008869
                        0                    173.3                    86.36                    43.18          2.1133999824524       -0.045920699834824
                        0                    173.3                    86.36                    43.18          2.1143000125885       -0.045621957629919
                        0                    173.3                    86.36                    43.18          2.1152000427246       -0.045331031084061
                        0                    173.3                    86.36                    43.18          2.1160998344421        -0.04504220187664
                        0                    173.3                    86.36                    43.18          2.1169998645782       -0.044760663062334
                        0                    173.3                    86.36                    43.18          2.1178998947144       -0.044479131698608
                        0                    173.3                    86.36                    43.18          2.1187999248505       -0.044202297925949
                        0                    173.3                    86.36                    43.18          2.1196999549866       -0.043931715190411
                        0                    173.3                    86.36                    43.18          2.1205999851227       -0.043663218617439
                        0                    173.3                    86.36                    43.18          2.1215000152588       -0.043399937450886
                        0                    173.3                    86.36                    43.18          2.1224000453949       -0.043142907321453
                        0                    173.3                    86.36                    43.18          2.1232998371124       -0.042885884642601
                        0                    173.3                    86.36                    43.18          2.1241998672485        -0.04263511300087
                        0                    173.3                    86.36                    43.18          2.1250998973846       -0.042387992143631
                        0                    173.3                    86.36                    43.18          2.1259999275208       -0.042145032435656
                        0                    173.3                    86.36                    43.18          2.1268999576569       -0.041906252503395
                        0                    173.3                    86.36                    43.18           2.127799987793       -0.041671112179756
                        0                    173.3                    86.36                    43.18          2.1287000179291        -0.04143962264061
                        0                    173.3                    86.36                    43.18          2.1296000480652       -0.041211776435375
                        0                    173.3                    86.36                    43.18          2.1304998397827       -0.040988102555275
                        0                    173.3                    86.36                    43.18          2.1313998699188       -0.040768593549728
                        0                    173.3                    86.36                    43.18          2.1322999000549       -0.040552731603384
                        0                    173.3                    86.36                    43.18           2.133199930191        -0.04033999890089
                        0                    173.3                    86.36                    43.18          2.1340999603271       -0.040132470428944
                        0                    173.3                    86.36                    43.18          2.1349999904633       -0.039928067475557
                        0                    173.3                    86.36                    43.18          2.1359000205994       -0.039725746959448
                        0                    173.3                    86.36                    43.18          2.1368000507355       -0.039529673755169
                        0                    173.3                    86.36                    43.18           2.137699842453       -0.039335690438747
                        0                    173.3                    86.36                    43.18          2.1385998725891       -0.039146386086941
                        0                    173.3                    86.36                    43.18          2.1394999027252       -0.038960207253695
                        0                    173.3                    86.36                    43.18          2.1403999328613        -0.03877767175436
                        0                    173.3                    86.36                    43.18          2.1412999629974       -0.038598261773586
                        0                    173.3                    86.36                    43.18          2.1421999931335       -0.038422491401434
                        0                    173.3                    86.36                    43.18          2.1431000232697       -0.038249850273132
                        0                    173.3                    86.36                    43.18          2.1440000534058       -0.038081891834736
                        0                    173.3                    86.36                    43.18          2.1448998451233       -0.037917573004961
                        0                    173.3                    86.36                    43.18          2.1457998752594       -0.037755340337753
                        0                    173.3                    86.36                    43.18          2.1466999053955       -0.037596229463816
                        0                    173.3                    86.36                    43.18           2.147599697113       -0.037443362176418
                        0                    173.3                    86.36                    43.18          2.1484999656677       -0.037291016429663
                        0                    173.3                    86.36                    43.18          2.1493999958038       -0.037142314016819
                        0                    173.3                    86.36                    43.18          2.1502997875214       -0.036997769027948
                        0                    173.3                    86.36                    43.18           2.151200056076       -0.036855310201645
                        0                    173.3                    86.36                    43.18          2.1521000862122       -0.036715973168612
                        0                    173.3                    86.36                    43.18          2.1529998779297       -0.036581315100193
                        0                    173.3                    86.36                    43.18          2.1538999080658       -0.036450304090977
                        0                    173.3                    86.36                    43.18          2.1548001766205       -0.036322928965092
                        0                    173.3                    86.36                    43.18           2.155699968338       -0.036195557564497
                        0                    173.3                    86.36                    43.18          2.1565999984741       -0.036072343587875
                        0                    173.3                    86.36                    43.18          2.1574997901917       -0.035953294485807
                        0                    173.3                    86.36                    43.18          2.1583998203278       -0.035836327821016
                        0                    173.3                    86.36                    43.18          2.1593000888824       -0.035724557936192
                        0                    173.3                    86.36                    43.18             2.1601998806       -0.035613309592009
                        0                    173.3                    86.36                    43.18          2.1610999107361       -0.035506222397089
                        0                    173.3                    86.36                    43.18          2.1619997024536       -0.035401213914156
                        0                    173.3                    86.36                    43.18          2.1628999710083       -0.035299327224493
                        0                    173.3                    86.36                    43.18          2.1638000011444       -0.035201080143452
                        0                    173.3                    86.36                    43.18          2.1646997928619        -0.03510595113039
                        0                    173.3                    86.36                    43.18           2.165599822998       -0.035012386739254
                        0                    173.3                    86.36                    43.18          2.1665000915527       -0.034921422600746
                        0                    173.3                    86.36                    43.18          2.1673998832703       -0.034834615886211
                        0                    173.3                    86.36                    43.18          2.1682999134064       -0.034750927239656
                        0                    173.3                    86.36                    43.18          2.1692001819611       -0.034668281674385
                        0                    173.3                    86.36                    43.18          2.1700999736786       -0.034588754177094
                        0                    173.3                    86.36                    43.18          2.1710000038147       -0.034512344747782
                        0                    173.3                    86.36                    43.18          2.1718997955322       -0.034437496215105
                        0                    173.3                    86.36                    43.18          2.1727998256683       -0.034366805106401
                        0                    173.3                    86.36                    43.18           2.173700094223       -0.034298196434975
                        0                    173.3                    86.36                    43.18          2.1745998859406       -0.034232184290886
                        0                    173.3                    86.36                    43.18          2.1754999160767       -0.034168254584074
                        0                    173.3                    86.36                    43.18          2.1763997077942       -0.034107446670532
                        0                    173.3                    86.36                    43.18          2.1772999763489       -0.034047670662403
                        0                    173.3                    86.36                    43.18           2.178200006485       -0.033992059528828
                        0                    173.3                    86.36                    43.18          2.1790997982025        -0.03393904492259
                        0                    173.3                    86.36                    43.18          2.1799998283386       -0.033887069672346
                        0                    173.3                    86.36                    43.18          2.1809000968933       -0.033838216215372
                        0                    173.3                    86.36                    43.18          2.1817998886108       -0.033791437745094
                        0                    173.3                    86.36                    43.18          2.1826999187469       -0.033748302608728
                        0                    173.3                    86.36                    43.18          2.1835999488831       -0.033705163747072
                        0                    173.3                    86.36                    43.18          2.1844999790192       -0.033665664494038
                        0                    173.3                    86.36                    43.18          2.1854000091553       -0.033627722412348
                        0                    173.3                    86.36                    43.18          2.1862998008728       -0.033593941479921
                        0                    173.3                    86.36                    43.18          2.1871998310089       -0.033560156822205
                        0                    173.3                    86.36                    43.18          2.1881000995636       -0.033529493957758
                        0                    173.3                    86.36                    43.18          2.1889998912811       -0.033499870449305
                        0                    173.3                    86.36                    43.18          2.1898999214172        -0.03347284719348
                        0                    173.3                    86.36                    43.18          2.1907997131348       -0.033448938280344
                        0                    173.3                    86.36                    43.18          2.1916999816895       -0.033426068723202
                        0                    173.3                    86.36                    43.18          2.1926000118256       -0.033405281603336
                        0                    173.3                    86.36                    43.18          2.1934998035431       -0.033387612551451
                        0                    173.3                    86.36                    43.18          2.1943998336792       -0.033370979130268
                        0                    173.3                    86.36                    43.18          2.1953001022339       -0.033355910331011
                        0                    173.3                    86.36                    43.18          2.1961998939514       -0.033343955874443
                        0                    173.3                    86.36                    43.18          2.1970999240875       -0.033332522958517
                        0                    173.3                    86.36                    43.18          2.1979999542236       -0.033323686569929
                        0                    173.3                    86.36                    43.18          2.1988999843597       -0.033316932618618
                        0                    173.3                    86.36                    43.18          2.1998000144958       -0.033312253654003
                        0                    173.3                    86.36                    43.18          2.2006998062134       -0.033308617770672
                        0                    173.3                    86.36                    43.18          2.2015998363495       -0.033306539058685
                        0                    173.3                    86.36                    43.18          2.2025001049042       -0.033306539058685
                        0                    173.3                    86.36                    43.18          2.2033998966217       -0.033307574689388
                        0                    173.3                    86.36                    43.18          2.2042999267578        -0.03331121429801
                        0                    173.3                    86.36                    43.18          2.2051997184753       -0.033316932618618
                        0                    173.3                    86.36                    43.18            2.20609998703       -0.033324208110571
                        0                    173.3                    86.36                    43.18          2.2070000171661       -0.033332001417875
                        0                    173.3                    86.36                    43.18          2.2078998088837        -0.03334291651845
                        0                    173.3                    86.36                    43.18          2.2087998390198       -0.033354349434376
                        0                    173.3                    86.36                    43.18          2.2097001075745       -0.033367864787579
                        0                    173.3                    86.36                    43.18           2.210599899292       -0.033381894230843
                        0                    173.3                    86.36                    43.18          2.2114999294281       -0.033398006111383
                        0                    173.3                    86.36                    43.18          2.2123999595642       -0.033415675163269
                        0                    173.3                    86.36                    43.18          2.2132999897003       -0.033435426652431
                        0                    173.3                    86.36                    43.18          2.2142000198364        -0.03345413506031
                        0                    173.3                    86.36                    43.18           2.215099811554       -0.033478043973446
                        0                    173.3                    86.36                    43.18          2.2159998416901       -0.033501949161291
                        0                    173.3                    86.36                    43.18          2.2169001102448       -0.033524814993143
                        0                    173.3                    86.36                    43.18          2.2177999019623       -0.033551841974258
                        0                    173.3                    86.36                    43.18          2.2186999320984       -0.033579386770725
                        0                    173.3                    86.36                    43.18          2.2195997238159       -0.033607970923185
                        0                    173.3                    86.36                    43.18          2.2204999923706       -0.033637076616287
                        0                    173.3                    86.36                    43.18          2.2214000225067       -0.033668261021376
                        0                    173.3                    86.36                    43.18          2.2222998142242       -0.033699966967106
                        0                    173.3                    86.36                    43.18          2.2231998443604       -0.033734269440174
                        0                    173.3                    86.36                    43.18           2.224100112915       -0.033768568187952
                        0                    173.3                    86.36                    43.18          2.2249999046326       -0.033804431557655
                        0                    173.3                    86.36                    43.18          2.2258999347687        -0.03384081274271
                        0                    173.3                    86.36                    43.18          2.2267999649048       -0.033879276365042
                        0                    173.3                    86.36                    43.18          2.2276999950409       -0.033918775618076
                        0                    173.3                    86.36                    43.18           2.228600025177       -0.033957757055759
                        0                    173.3                    86.36                    43.18          2.2294998168945       -0.033998817205429
                        0                    173.3                    86.36                    43.18          2.2303998470306       -0.034041956067085
                        0                    173.3                    86.36                    43.18          2.2313001155853       -0.034085094928741
                        0                    173.3                    86.36                    43.18          2.2321999073029       -0.034129276871681
                        0                    173.3                    86.36                    43.18           2.233099937439       -0.034173455089331
                        0                    173.3                    86.36                    43.18          2.2339997291565       -0.034219712018967
                        0                    173.3                    86.36                    43.18          2.2348999977112        -0.03426805138588
